https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1608701|['3.2']|['Duha', 'Tore Altindag']|['15 ratings']|['ECON2020', 'ECON7320', 'ECON4600']
https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1608701|[]|[]|[]|['ECON2020', 'ECON7320', 'ECON4600']
https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2642662|['4.3']|['Abbi', 'Storm McCann']|['10 ratings']|['GSHS2000', 'CADS2000', 'CADS2007']
https://www.ratemyprofessors.com/ShowRatings.jsp?tid=753029|['2.2']|['Ali', 'Abdel-Hadi']|['5 ratings']|['MECH2110', 'ENGR4230', 'ENGR2260']
https://www.ratemyprofessors.com/ShowRatings.jsp?tid=547816|[]|[]|[]|['STATS7250', 'STATS7000', 'STAT3600', 'STAT7600', 'SAS']
https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2370936|['2.7']|['Andrew', 'Adamczyk']|['8 ratings']|['CHEN3700', 'ENGR2010']
https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1170286|[]|[]|[]|['BUS1050', 'FIN1050', 'BUS1010', 'ECON2020', 'MICRO2010']
https://www.ratemyprofessors.com/ShowRatings.jsp?tid=885709|[]|[]|[]|['MUS141', 'MUS101']
https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1742052|[]|[]|[]|['ENG120']
https://www.ratemyprofessors.com/ShowRatings.jsp?tid=342163|['4']|[]|[]|['ENG', 'MECH2120']
https://www.ratemyprofessors.com/ShowRatings.jsp?tid=342163|['4']|[]|[]|['ENG', 'MECH2120']
https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2054560|['3.3']|[]|[]|['ACCT2010']
https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1608701|[]|[]|[]|['ECON2020', 'ECON7320', 'ECON4600']
https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2642662|[]|[]|[]|['GSHS2000', 'CADS2000', 'CADS2007']
https://www.ratemyprofessors.com/ShowRatings.jsp?tid=753029|['2.2']|['Ali', 'Abdel-Hadi']|['5 ratings']|['MECH2110', 'ENGR4230', 'ENGR2260']
https://www.ratemyprofessors.com/ShowRatings.jsp?tid=547816|[]|[]|[]|['STATS7250', 'STATS7000', 'STAT3600', 'STAT7600', 'SAS']
https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2370936|[]|[]|[]|['CHEN3700', 'ENGR2010']
https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1170286|[]|[]|[]|['BUS1050', 'FIN1050', 'BUS1010', 'ECON2020', 'MICRO2010']
https://www.ratemyprofessors.com/ShowRatings.jsp?tid=885709|[]|[]|[]|['MUS141', 'MUS101']
https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1742052|[]|[]|[]|['ENG120']
https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1608701|[]|[]|[]|['ECON2020', 'ECON7320', 'ECON4600']
https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2642662|[]|[]|[]|['GSHS2000', 'CADS2000', 'CADS2007']
